Isad311Référence,Isad312Intitulé,Isad313Dates,Isad313DatesNormees,Isad315ImportanceMatérielle,Isad321NomProducteur,CategorieFonds,TypeInstrumentRecherche,url,PresentationProducteur
"CH BGE Ms. mus. 581-722, 724-1252; Non catalogué (2016/32)",Fonds Emile Jaques-Dalcroze,1821-1963 et sans date,1821/1963,22 m.,"Jaques-Dalcroze, Emile (1865-1950)",Personnes et familles,Inventaire mixte,https://archives.bge-geneve.ch/ark:/17786/vta200a4bbb8ef16f67,"Originaire de Sainte-Croix et Genève, Emile-Henri Jaques-Dalcroze naît le 6 juillet 1865 à Vienne. Dès 1875, il habite Genève et y fait sa scolarité et ses premières études musicales. Il part ensuite se perfectionner à Paris et à Vienne. Compositeur et pédagogue, fondateur de la ""gymnastique rythmique"", nombre de ses chansons populaires célèbrent la Romandie et il y est extrêmement connu pour ses mélodies. Il est aussi le compositeur de grands festivals nationaux ainsi que de nombreuses pièces instrumentales et chorales, pour des formations les plus diverses. En 1892, il est nommé professeur d'harmonie au Conservatoire de Genève. Dès lors la pédagogie prendra une place de plus en plus prépondérante dans ses préoccupations. Il développe alors une méthode basée sur la perception corporelle de la musique. En 1910, il ouvre l'école de Hellerau à Dresde (Allemagne), qui connaît un grand succès. Se trouvant à Genève pour la création du Festspiel La Fête de Juin au début de la Première Guerre mondiale, il ne peut retourner en Allemagne, et fonde en 1915 l'Institut Jaques-Dalcroze. La méthode dalcrozienne, qui inclut l'éducation de l'oreille et l'art de l'improvisation, exerça une forte influence sur l'enseignement de la musique et sur la pédagogie curative. Elle contribua au développement de la danse expressive et de la pantomime. Son auteur la présenta dans toute l'Europe au travers de plus de 350 publications et conférences. Officier de la Légion d'honneur (1929), docteur honoris causa des universités de Chicago (1937), Lausanne (1945), Clermont-Ferrand (1948) et Genève (1948), prix de musique de la Ville de Genève (1947), Emile Jaques-Dalcroze décède le 1er juillet 1950 à Genève. Source: Bibliothèque cantonale et universitaire, Lausanne. Répertoire des musiciens vaudois. Jaques-Dalcroze, Emile. En ligne: http://dbserv1-bcu.unil.ch/persovd/compvd.php?Code=J (page consultée le 21.03.2013)"
CH BGE Ms. fr. 1786-1789,Papiers Hippolyte Aubert,12e siècle [copie du 19e siècle] - 1916,1100/1916,4.4 m.,"Aubert, Hippolyte-Victor (1865-1923)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta8b0c6966bddbc15e,"Historien et archiviste-paléographe issu d'une famille bourgeoise protestante originaire de Crest en Dauphiné, réfugiée à Genève après la Révocation de l'édit de Nantes, Hippolyte-Victor Aubert dirigea la Bibliothèque publique et universitaire de Genève (de 1892 à 1906) et rédigea de nombreuses études sur l'histoire du protestantisme. Tiré de Jean de Senarclens, ""Aubert (GE)"", in Dictionnaire historique de la Suisse (DHS), url: http://www.hls-dhs-dss.ch/textes/f/F25467.php, version du 17.10.2001"
CH BGE Ms. fr. 671-675,Correspondance Jean-Alfred Gautier,1814-1880,1814/1880,0.2 m.,"Gautier, Jean-Alfred (1793-1881)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta53698bc0dc6c4b2f,"Né à Genève en 1793, Jean-Alfred Gautier fait ses études à l'Académie de Genève, puis à l'Université de Paris ou il obtient un doctorat ès sciences en 1817 avec une thèse en mécanique céleste qui reste importante pour l'histoire des sciences. En 1818, il se rend en Angleterre où il rencontre en particulier l'astronome John Herschel. Revenu à Genève en 1819, il est nommé professeur honoraire d'astronomie puis, en 1821, professeur de mathématiques supérieures à l'Académie et directeur de l'Observatoire. Il fait construire un bâtiment neuf (1830) et en modernise l’équipement. En 1839, des troubles de la vue l'empêchent de poursuivre sa carrière. Il se consacre dès lors à des œuvres philanthropiques et religieuses, tout en continuant à s'intéresser à l'astronomie. Lisant les travaux des Allemands Rudolf Wolf et Johann von Lamont, Jean-Alfred Gautier est le premier à remarquer un parallélisme entre l'activité solaire et l'activité magnétique à la surface de la Terre. En politique, il est à plusieurs reprises membre du Conseil représentatif (1823-1833, 1835-1841). Du côté scientifique il a été membre de la Société de physique et d'histoire naturelle de Genève, membre associé de la Société royale d'astronomie de Londres dès 1822. Il décède à Genève en 1881. Extrait de Marcel Golay, ""Gautier, Alfred"" , in Dictionnaire historique de la Suisse (DHS), url: http://www.hls-dhs-dss.ch/textes/f/F28831.php, version du 17.10.2003"
"CH BGE Ms. fr. 5731-5751, 5831-5840",Archives de l'Union des femmes de Genève,1890-1977,1890/1977,2.3 m,Union des femmes de Genève (1891- ),Collectivités,Normal,https://archives.bge-geneve.ch/ark:/17786/vta1caf0659d9e8d0d1,"L'Union des femmes de Genève fut fondée en 1891 dans le but de ""développer l'esprit de solidarité entre les femmes de tous les milieux; travailler à leur bien moral, intellectuel et matériel; créer un centre de ralliement pour tous les efforts qui se font dans l'intérêt de la femme"". Dans cet esprit, l'Union des femmes aida particulièrement les femmes qui travaillaient, celles au chômage, les mères de famille de condition modeste, les femmes âgées et isolées. Elle créa un Ouvroir, un bureau de placement, des vacances pour mères de famille et prit de nombreuses initiatives pour la promotion juridique ou professionnelle des femmes."
"CH BGE Ms. fr. 650, 652, 656-657 ; Ms. suppl. 384",Papiers Gabriel Cramer,1728-1751,1728/1751,0.4 m,"Cramer, Gabriel (1704-1752)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta8c46e9ffd4d72051,"Né à Genève le 31 juillet 1704, fils d'un médecin, Gabriel Cramer est nommé en 1724 à la nouvelle chaire de mathématiques de l'Académie de Genève, en alternance avec Jean-Louis Calandrini. De 1727 à 1729, Cramer voyage en Europe et rencontre les savants les plus célèbres de son temps : Jean Bernoulli et Euler à Bâle, Halley et Stirling en Angleterre, s’Gravesande en Hollande, Fontenelle, Maupertuis, Buffon, Réaumur, Nollet et Clairaut en France. Après son retour à Genève, il entretiendra, toute sa vie, une importante correspondance avec eux. ll publie les œuvres de Christian Wolf, celles des frères Jacques et Jean II Bernoulli (1742-1744) et la correspondance de ce dernier avec Leibniz (1745). De nouveau à Paris en 1747, avec son élève le jeune prince de Saxe-Gotha, Cramer fait la connaissance de Jean Le Rond d’Alembert. Gabriel Cramer publie de nombreux articles en mathématiques, édités pour certains dans les Mémoires des Académies de Paris et de Berlin. Un cours de logique, inédit, rédigé vers 1745, est la base de l’article «Probabilité» de l’Encyclopédie. En 1750 paraît son œuvre la plus connue : son ""Introduction à l'analyse des lignes courbes algébriques"", qui a fortement contribué au développement de la géométrie analytique. Fondateur avec Leibniz de la théorie des déterminants, Cramer a aussi donné son nom à une règle et à un paradoxe. En astronomie, Cramer a calculé les orbites et les trajectoires des planètes. En 1750, il devient également professeur de philosophie à l'Académie. Il est membre du Conseil des Deux-Cents (1734), du Conseil des Soixante (1749) et de plusieurs sociétés et académies scientifiques. Il meurt le 4 janvier 1752 en Languedoc à Bagnols-sur-Cèze.[D'après Paul Chaix, ""Cramer Gabriel"", in Dictionnaire historique de la Suisse (DHS), url: http://www.hls-dhs-dss.ch/textes/d/D25878.php, version du 10/03/2004 et http://www.ville-ge.ch/mhs/pdf/expo_2012_rousseau_livret.pdf]"
"CH BGE Ms. fr. 850-868, 1210",Papiers Michel Léger,18e s.,1730/1745,0.7 m.,"Léger, Michel (1685-1745)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta1139c09f13971676,"La famille Léger est originaire de Villesèche dans le Piémont. Elle obtient la bourgeoisie de Genève en 1652. Michel Léger (1685-1745) est pasteur à Genève et est fort mêlé aux affaires politiques contre le gouvernment aristocratique. ll est même suspendu en 1736, mais rétabli dans ses fonctions quelques jours après à cause de sa popularité. On lui doit quelques opuscules tels que la ""Relation des troubles qui agitèrent la ville (de Genève) en 1734"", une version du ""Nouveu Testament"", en grec vulgaire. Alain Corbaz, ""Léger"" dans ""Dictionnaire Historique et Biographique de la Suisse"", tome 4, Neuchâtel, 1928, p. 488."
CH BGE Non catalogué (2012/11),Papiers Edmond Perret,1964-1991,1964/1991,1 m,"Perret, Edmond (1925-2012)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta94dd997e91644988,"Edmond Perret naît à Genève le 30 juillet 1925. Après des études supérieures de théologie à Montréal, il y exerce la fonction de pasteur pendant quelques années, avant de revenir s'installer à Genève. Secrétaire général de l'Alliance réformée mondiale, Edmond Perret a fermement milité pour une condamnation de l'apartheid en Afrique du Sud et a lutté sa vie durant pour l'action sociale. Il décède le 24 mars 2012. [D'après: Fédération protestante de France, ""Edmond Perret, une grande figure du protestantisme mondial, est décédé"", [en ligne, version du 3.04.2012]"
"CH BGE Arch. Gérald Cramer 1-69, Arch. Gérald Cramer Photocopies 1-8, Arch. Gérald Cramer Photos 1-769, Arch. Gérald Cramer Affiches 1-4",Archives Gérald Cramer,1943-1989,1943/1989,7.2 m.,"Cramer, Gérald (1916-1991)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vtafab2255d8cbe5978,"Né le 22 juin 1916 à Genève, Gérald Cramer est licencié en droit en 1938. Il est très actif sur le marché de l'art en tant que libraire, éditeur, et marchand d'estampes, dessins et sculptures. En 1943, il ouvre la librairie spécialisée Gérald Cramer, rue Adhémar-Fabri. Deux ans plus tard, il édite ses premières estampes. En 1951, il ouvre la Galerie Gérald Cramer, rue de Chantepoulet, qui sera agrandie en 1962. Ses publications et ses expositions, notamment de Joan Miró, Marc Chagall et Henry Moore, sont reconnues sur le plan international. En 1976, le libraire dépose au Cabinet des estampes du Musée d'Art et d'Histoire de Genève un exemplaire de presque toutes les gravures qu'il avait éditées, créant la Fondation qui porte son nom. Il décède à Mies (Genève) le 17 mars 1991."
"CH BGE Ms. fr. 1109, Ms fr. 4991-4995",Papiers Frédéric Gardy,19e - 20e s.,1800/1999,0.5 m,"Gardy, Frédéric (1870-1957)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta84e94d70cfa1f1bb,"Directeur de la Bibliothèque de Genève, historien"
CH BGE Ms. fr. 587-588,Papiers Eugène Choisy,1893-1952,1893/1952,0.2 m.,"Choisy, Eugène (1866-1949)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta9ff5bbd7c76f17ce,"Fils de Louis James Choisy, pasteur, et de Louise Constance Picot, (Jacques-) Eugène naît à Genève le 25 février 1866. Il est le frère d'Albert. En première noce, il épouse Augusta Vernet, fille d'Edmond, banquier à Lyon et consul de Suisse. En seconde noce, il épouse Mary-Anne Vernet, sœur aînée de la précédente. Eugène Choisy étudie la théologie à Genève, Montauban et Berlin et obtient le doctorat en théologie en 1902. Consacré, il est pasteur de l'Eglise huguenote de Cantorbéry (1889-1890) et de Plainpalais (Genève, 1891-1910). Choisy devient professeur d'histoire ecclésiastique à l'université de Genève (1909-1939). Il fonde le Musée historique de la Réformation (1897) et l'Institut des ministères féminins (1918). Il est membre de la Constituante (1908), du Consistoire et de la Commission exécutive de l'Eglise nationale protestante (1924). Il participe aux débuts du mouvement œcuménique et préside la Fédération des Eglises protestantes de la Suisse (1930-1941). Il est docteur honoris causa des universités d'Edimbourg et de Debrecen (Hongrie). Eugène Choisy décède à Genève le 13 avril 1949. [d'après Olivier Fatio, ""Eugène Choisy"", in Dictionnaire historique de la Suisse (DHS), url: http://www.hls-dhs-dss.ch/textes/f/F9039.php, version du 30/12/2003]"
CH BGE Non catalogué (1999/010),Papiers Edouard Gros,19e - 20e s.,1800/1999,0.2 m.,"Gros, Edouard (19e s. - après 1916)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta8543a17b17e49ead,
CH BGE Ms. fr. 1575-1583,Papiers Edouard Schneider-Bonnet,1900-1939,1900/1939,1 m,"Schneider, Edouard (ou Schneider-Bonnet) (1858-1942)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta381cb14a25998652,"""Historien et journaliste russophile, né le 1er juin 1858 à Saint-Pétersbourg. Nous ne connaissons rien ou presque rien de son enfance, ni de ses origines. Toutefois, sa parfaite maîtrise de la langue russe laisse présumer une origine slave. Grâce à de rares annotations en marge de certains documents (Ms. fr. 1581-1583), nous savons qu'il fut, entre autres, le camarade d'école [du philologue] Tadeusz Zielinski, qu'il voyagea à Berlin, Londres et Florence et qu'il rencontra quelques politiciens qui jouèrent par la suite un rôle important à l'époque de la Révolution. De 1900 à 1906, Edouard Schneider-Bonnet séjourne à Lausanne où il est enregistré sous le nom de Edouard de Schneider, rentier et écrivain. A la même adresse, sont inscrites Louise Bonnet [1872-?], son épouse qui lui donne trois enfants et Annette Schneider [peut-être sa mère], née à Saint-Pétersbourg vers 1840. Pendant cette période, il publie: - Anonymement, ""Le Gouverneur d'un prince, Frédéric César de Laharpe et Alexandre 1er de Russie"" (1902 ?), une étude sur l'oeuvre et la vie de Laharpe, ""d'après des manuscrits inédits de F. C. Laharpe, et sur les sources russes les plus récentes"", comme il est précisé sur la page de titre. - Sous le nom de plume S. Bonnet, ""La Cour et le règne de Paul 1er: portraits, souvenirs et anecdotes"" (Paris, 1905), les Mémoires du comte Fédor Golovkine d'après des papiers inédits découverts par lui au Château de Monnaz. En outre, il écrit régulièrement des feuilletons (impressions de voyage, petites chroniques,...) et des articles politiques pour la Frankfurter Zeitung (Ms. fr. 1581-1582). Après trois déménagements, Edouard Schneider-Bonnet quitte Lausanne pour Prilly où il vit vraisemblablement jusqu'en 1920, date de son installation à Genève. Selon l'Annuaire du Commerce genevois Chapalay et Mottier, il change trois fois de logement jusqu'en 1939. Cette période semble être particulièrement difficile sur le plan matériel. Ainsi, comme il l'écrit en 1920 à la Direction de la Bibliothèque Publique et Universitaire, ""à un moment où les circonstances m'obligent à me défaire d'une partie de mes livres"", il fait don à la Bibliothèque d'une importante collection d'ouvrages russes (pour le détail voir Ms. fr. 1575), dont fait partie la précieuse édition en 5 volumes des ""Portraits russes du XVIIIe et XIXe siècles"" du grand duc Nicolas Mikhaïlovitch, offerte personnellement par l'auteur. Edouard Schneider-Bonnet souhaite que ""son don insignifiant"" soit perçu ""comme un faible témoignage de gratitude vis-à-vis de la Suisse, qui m'a permis de jouïr [sic] des bienfaits de la paix pendant que mes proches ont perdu non seulement leur bien mais aussi leur vie"" (Ms. fr. 1575). Suite à cet important versement, il a fait don en 1921 de ses travaux au Département des manuscrits, sous la condition que ceux-ci ne soient accessibles que 25 ans après sa mort; puis, en 1923, il offre une seconde collection d'ouvrages à la Bibliothèque. Le dernier document que possède la BPU est une lettre écrite de Chardonne-sur-Vevey et datée du 21 juin 1939. Edouard Schneider-Bonnet venait de fêter son 81ème anniversaire"" [Barbara Prout, Catalogue dacytylographié 4D (1993), f. 258-259]"
